score,time,contrast,subject
-0.006173249456106314,-0.2,voiced,11
-0.00939416960900164,-0.19,voiced,11
0.0019342858714134798,-0.18,voiced,11
-0.003994028824107593,-0.17,voiced,11
-0.007349719791511531,-0.16,voiced,11
-0.003254739673176477,-0.15,voiced,11
0.007708306835633939,-0.14,voiced,11
-0.007840698140292039,-0.13,voiced,11
-0.0017905629237926187,-0.12,voiced,11
-0.0024332894132005583,-0.11,voiced,11
-0.00919954431185881,-0.1,voiced,11
-0.01417587712504477,-0.09,voiced,11
-0.002632046321360171,-0.08,voiced,11
0.014405041287179702,-0.07,voiced,11
-0.0038684682696951836,-0.06,voiced,11
-0.006805737100972387,-0.05,voiced,11
-0.0009976462995054183,-0.04,voiced,11
0.005849138225279835,-0.03,voiced,11
-0.002289088437297051,-0.02,voiced,11
-0.002277725454251397,-0.01,voiced,11
0.00937716776851333,0.0,voiced,11
0.016929503019633346,0.01,voiced,11
0.008281116746610194,0.02,voiced,11
0.004860844429270331,0.03,voiced,11
0.007260209919154612,0.04,voiced,11
0.011637029930689078,0.05,voiced,11
0.016127970152189353,0.06,voiced,11
0.019834954085628607,0.07,voiced,11
0.020200048590734283,0.08,voiced,11
0.009055119712572727,0.09,voiced,11
0.01638809992761814,0.1,voiced,11
0.017203888163211757,0.11,voiced,11
0.035244619935885964,0.12,voiced,11
0.04879941096115928,0.13,voiced,11
0.05969098581506853,0.14,voiced,11
0.07367404250006819,0.15,voiced,11
0.09019536582765189,0.16,voiced,11
0.09899934079750404,0.17,voiced,11
0.1041755607089157,0.18,voiced,11
0.09882246842938838,0.19,voiced,11
0.09134938634972696,0.2,voiced,11
0.06554783369871182,0.21,voiced,11
0.04146583419404374,0.22,voiced,11
0.02477315493180637,0.23,voiced,11
0.01688431591648451,0.24,voiced,11
0.020963787932742582,0.25,voiced,11
0.026924006984993903,0.26,voiced,11
0.034445796304346965,0.27,voiced,11
0.03688804684183139,0.28,voiced,11
0.03600537989472804,0.29,voiced,11
0.03192386621118844,0.3,voiced,11
0.02202550060402831,0.31,voiced,11
0.011002882287006436,0.32,voiced,11
0.012630676982297253,0.33,voiced,11
0.015825799232597325,0.34,voiced,11
0.012768137620669133,0.35,voiced,11
0.014336308268313492,0.36,voiced,11
0.017998850287806307,0.37,voiced,11
0.015263003679650177,0.38,voiced,11
0.004127593631175706,0.39,voiced,11
-0.0032848627575353187,0.4,voiced,11
0.002126795232519512,0.41,voiced,11
0.012134713109463327,0.42,voiced,11
0.009209463351923172,0.43,voiced,11
-0.003761747839879165,0.44,voiced,11
-0.00195601622743084,0.45,voiced,11
-0.004729352692751756,0.46,voiced,11
-0.005700824470618189,0.47,voiced,11
-0.008728267799937163,0.48,voiced,11
-0.0028924542289797787,0.49,voiced,11
0.002404650986976519,0.5,voiced,11
-0.00791013920828251,0.51,voiced,11
-0.0011759265066679746,0.52,voiced,11
0.0038356131710927627,0.53,voiced,11
0.001975086525347752,0.54,voiced,11
0.006386552941062329,0.55,voiced,11
0.003483155706140048,0.56,voiced,11
0.0019463938459633556,0.57,voiced,11
0.002271164499922333,0.58,voiced,11
6.484826745329931e-05,0.59,voiced,11
-0.005246029452377327,0.6,voiced,11
-0.00913070915520792,-0.2,wordfreq,11
