score,time,contrast,subject
0.011191017944974048,-0.2,voiced,07
0.0035139100899424414,-0.19,voiced,07
0.007691669990833386,-0.18,voiced,07
0.010475449710382142,-0.17,voiced,07
0.009406326816697893,-0.16,voiced,07
0.003611569291530361,-0.15,voiced,07
-0.004452152957286916,-0.14,voiced,07
0.0009592292169194535,-0.13,voiced,07
0.00022912811035728233,-0.12,voiced,07
-0.010285365137771459,-0.11,voiced,07
0.011987861885155875,-0.1,voiced,07
0.00493246004017678,-0.09,voiced,07
0.006691275225068001,-0.08,voiced,07
-0.005394635691628542,-0.07,voiced,07
-0.0033340277054147533,-0.06,voiced,07
-0.0016530804858431681,-0.05,voiced,07
0.0015981911071510147,-0.04,voiced,07
-0.0036041447579399817,-0.03,voiced,07
0.00038180425142007233,-0.02,voiced,07
0.009166996552093538,-0.01,voiced,07
0.005521845712546565,0.0,voiced,07
-1.2099055737663211e-06,0.01,voiced,07
0.0019497885688414785,0.02,voiced,07
0.001349663134256464,0.03,voiced,07
0.0002416464335412703,0.04,voiced,07
0.009143614646861434,0.05,voiced,07
0.014977726389242359,0.06,voiced,07
0.01100631232461225,0.07,voiced,07
0.007601332638612504,0.08,voiced,07
0.004470952283132595,0.09,voiced,07
0.01973356970677653,0.1,voiced,07
0.016545132116881574,0.11,voiced,07
0.01841702047547354,0.12,voiced,07
0.019321649759011707,0.13,voiced,07
0.020532890613334496,0.14,voiced,07
0.028713085910555828,0.15,voiced,07
0.03154449510426915,0.16,voiced,07
0.039567264158281115,0.17,voiced,07
0.03188782279208262,0.18,voiced,07
0.029908294877194694,0.19,voiced,07
0.03603759893793285,0.2,voiced,07
0.03775329513491879,0.21,voiced,07
0.022513468593471593,0.22,voiced,07
0.00759581750340942,0.23,voiced,07
0.016252945488321378,0.24,voiced,07
0.019839570683329696,0.25,voiced,07
0.02368256133859978,0.26,voiced,07
0.031073186858660496,0.27,voiced,07
0.0323721730192741,0.28,voiced,07
0.0245574480976907,0.29,voiced,07
0.017786612275144952,0.3,voiced,07
0.01417482693960067,0.31,voiced,07
0.008890250238480182,0.32,voiced,07
0.008103503770541927,0.33,voiced,07
0.014546157136568844,0.34,voiced,07
0.006966101037108564,0.35,voiced,07
0.007699260556915008,0.36,voiced,07
