story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,extras,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word
cable_spool_fort,1.0,0.0,phoneme,2.22,stimuli/audio/cable_spool_fort_0.wav,31.28,0.0899999999999998,2000-01-01 00:00:00+00:00,{},v_I,0.0,sentence,6.0,160.0,Ava,1.0,
cable_spool_fort,1.0,0.0,phoneme,2.31,stimuli/audio/cable_spool_fort_0.wav,31.37,0.2399999999999997,2000-01-01 00:00:00+00:00,{},er_E,0.0,sentence,6.0,160.0,Ava,1.0,
cable_spool_fort,1.0,0.0,phoneme,3.12,stimuli/audio/cable_spool_fort_0.wav,32.18,0.1399999999999996,2000-01-01 00:00:00+00:00,{},hh_B,1.0,sentence,0.0,160.0,Ava,1.0,
cable_spool_fort,1.0,0.0,word,3.12,stimuli/audio/cable_spool_fort_0.wav,32.18,0.52,2000-01-01 00:00:00+00:00,{},,1.0,sentence,0.0,160.0,Ava,1.0,Hey
cable_spool_fort,1.0,0.0,phoneme,3.26,stimuli/audio/cable_spool_fort_0.wav,32.32,0.3800000000000003,2000-01-01 00:00:00+00:00,{},ey_E,1.0,sentence,0.0,160.0,Ava,1.0,
cable_spool_fort,1.0,0.0,phoneme,3.88,stimuli/audio/cable_spool_fort_0.wav,32.94,0.1200000000000001,2000-01-01 00:00:00+00:00,{},r_B,1.0,sentence,1.0,160.0,Ava,1.0,
cable_spool_fort,1.0,0.0,word,3.88,stimuli/audio/cable_spool_fort_0.wav,32.94,0.5499999999999998,2000-01-01 00:00:00+00:00,{},,1.0,sentence,1.0,160.0,Ava,1.0,Roy
cable_spool_fort,1.0,0.0,phoneme,4.0,stimuli/audio/cable_spool_fort_0.wav,33.06,0.4299999999999997,2000-01-01 00:00:00+00:00,{},oy_E,1.0,sentence,1.0,160.0,Ava,1.0,
cable_spool_fort,1.0,0.0,phoneme,6.42,stimuli/audio/cable_spool_fort_0.wav,35.48,0.08,2000-01-01 00:00:00+00:00,{},w_B,2.0,sentence,0.0,205.0,Allison,1.0,
cable_spool_fort,1.0,0.0,word,6.42,stimuli/audio/cable_spool_fort_0.wav,35.48,0.2199999999999997,2000-01-01 00:00:00+00:00,{},,2.0,sentence,0.0,205.0,Allison,1.0,What
cable_spool_fort,1.0,0.0,phoneme,6.5,stimuli/audio/cable_spool_fort_0.wav,35.56,0.04,2000-01-01 00:00:00+00:00,{},ah_I,2.0,sentence,0.0,205.0,Allison,1.0,
cable_spool_fort,1.0,0.0,phoneme,6.54,stimuli/audio/cable_spool_fort_0.wav,35.6,0.0999999999999996,2000-01-01 00:00:00+00:00,{},t_E,2.0,sentence,0.0,205.0,Allison,1.0,
cable_spool_fort,1.0,0.0,phoneme,7.24,stimuli/audio/cable_spool_fort_0.wav,36.3,0.1200000000000001,2000-01-01 00:00:00+00:00,{},y_B,3.0,sentence,0.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,7.24,stimuli/audio/cable_spool_fort_0.wav,36.3,0.2099999999999999,2000-01-01 00:00:00+00:00,{},,3.0,sentence,0.0,190.0,Samantha,1.0,You
cable_spool_fort,1.0,0.0,phoneme,7.36,stimuli/audio/cable_spool_fort_0.wav,36.42,0.0899999999999998,2000-01-01 00:00:00+00:00,{},uw_E,3.0,sentence,0.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,7.45,stimuli/audio/cable_spool_fort_0.wav,36.51,0.0699999999999994,2000-01-01 00:00:00+00:00,{},s_B,3.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,7.45,stimuli/audio/cable_spool_fort_0.wav,36.51,0.3899999999999997,2000-01-01 00:00:00+00:00,{},,3.0,sentence,1.0,190.0,Samantha,1.0,suck
cable_spool_fort,1.0,0.0,phoneme,7.52,stimuli/audio/cable_spool_fort_0.wav,36.58,0.1700000000000008,2000-01-01 00:00:00+00:00,{},ah_I,3.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,7.69,stimuli/audio/cable_spool_fort_0.wav,36.75,0.1499999999999994,2000-01-01 00:00:00+00:00,{},k_E,3.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,8.0,stimuli/audio/cable_spool_fort_0.wav,37.06,0.1300000000000007,2000-01-01 00:00:00+00:00,{},ch_B,3.0,sentence,2.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,8.0,stimuli/audio/cable_spool_fort_0.wav,37.06,0.3100000000000005,2000-01-01 00:00:00+00:00,{},,3.0,sentence,2.0,190.0,Samantha,1.0,Chad
cable_spool_fort,1.0,0.0,phoneme,8.13,stimuli/audio/cable_spool_fort_0.wav,37.19,0.0999999999999996,2000-01-01 00:00:00+00:00,{},ae_I,3.0,sentence,2.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,8.23,stimuli/audio/cable_spool_fort_0.wav,37.29,0.08,2000-01-01 00:00:00+00:00,{},d_E,3.0,sentence,2.0,190.0,Samantha,1.0,
