score,time,contrast,subject
-0.012788427445070036,-0.2,voiced,03
-0.010828190642343445,-0.19,voiced,03
0.0061405403805484945,-0.18,voiced,03
0.004335285067311759,-0.17,voiced,03
0.014369686313981946,-0.16,voiced,03
0.00024596341602663364,-0.15,voiced,03
-0.006711451129335402,-0.14,voiced,03
-0.003568298816494779,-0.13,voiced,03
-0.01415689319888171,-0.12,voiced,03
0.007610129782096073,-0.11,voiced,03
0.0029595314400089703,-0.1,voiced,03
-0.008927682428710825,-0.09,voiced,03
-0.0013239521048516363,-0.08,voiced,03
-0.0007512841138369788,-0.07,voiced,03
-0.01450157821461098,-0.06,voiced,03
-0.023872962098107065,-0.05,voiced,03
0.014484756363172707,-0.04,voiced,03
0.012054624584478802,-0.03,voiced,03
-0.0028611162476363597,-0.02,voiced,03
0.0025912330890445643,-0.01,voiced,03
-0.003096647340800163,0.0,voiced,03
0.009402741532785907,0.01,voiced,03
0.018485573737932196,0.02,voiced,03
-0.0009802542152459578,0.03,voiced,03
-0.0006056366080057852,0.04,voiced,03
0.003366826075851987,0.05,voiced,03
-0.003093615353024959,0.06,voiced,03
-0.0017842894628963618,0.07,voiced,03
0.017205717479436458,0.08,voiced,03
0.01760511541083429,0.09,voiced,03
0.010511867429234151,0.1,voiced,03
-0.007058364601584572,0.11,voiced,03
0.005697543876187752,0.12,voiced,03
0.009732098438096524,0.13,voiced,03
0.018176022856184054,0.14,voiced,03
0.022273238742710314,0.15,voiced,03
0.012754475387200441,0.16,voiced,03
0.019681339107673817,0.17,voiced,03
0.01764968285602514,0.18,voiced,03
0.012326943450186654,0.19,voiced,03
0.02360193268610415,0.2,voiced,03
0.0351121160175537,0.21,voiced,03
0.0308137613025108,0.22,voiced,03
0.030039440255489457,0.23,voiced,03
0.01763583839399134,0.24,voiced,03
0.016767549875258032,0.25,voiced,03
0.01524412312725272,0.26,voiced,03
0.018803231884682126,0.27,voiced,03
0.02090976763164765,0.28,voiced,03
0.02543541610470461,0.29,voiced,03
0.010276340930922676,0.3,voiced,03
0.00431794677358816,0.31,voiced,03
0.010008838578341965,0.32,voiced,03
0.01479720171852218,0.33,voiced,03
0.01429969433442311,0.34,voiced,03
0.003229958960741729,0.35,voiced,03
0.0038552925505731432,0.36,voiced,03
0.014492738958353176,0.37,voiced,03
0.015729133002773725,0.38,voiced,03
0.018977007214361956,0.39,voiced,03
0.004413677076311491,0.4,voiced,03
0.007078306599705663,0.41,voiced,03
0.006600839586757999,0.42,voiced,03
0.0070171516697902225,0.43,voiced,03
0.008419813706988914,0.44,voiced,03
0.019598645468131656,0.45,voiced,03
0.014822247465342435,0.46,voiced,03
0.0008701682530802997,0.47,voiced,03
-0.0013935187563644928,0.48,voiced,03
0.01572638334572081,0.49,voiced,03
0.006902015250272032,0.5,voiced,03
0.0031695648459849845,0.51,voiced,03
0.01201932129565916,0.52,voiced,03
0.022263277991486394,0.53,voiced,03
0.008697142623954062,0.54,voiced,03
0.005260630254135893,0.55,voiced,03
0.012341287310566145,0.56,voiced,03
0.02675983326772955,0.57,voiced,03
0.011871445492892027,0.58,voiced,03
-0.009773068767681779,0.59,voiced,03
-0.010055586022658153,0.6,voiced,03
-0.012350213324641863,-0.2,wordfreq,03
0.008270300507258395,-0.19,wordfreq,03
0.015656903471498982,-0.18,wordfreq,03
0.018920460952209745,-0.17,wordfreq,03
0.025392889480007397,-0.16,wordfreq,03
-0.0017677768912017762,-0.15,wordfreq,03
0.009035811561624153,-0.14,wordfreq,03
0.011873830678227174,-0.13,wordfreq,03
0.0066198312589495325,-0.12,wordfreq,03
0.028813112103014415,-0.11,wordfreq,03
0.0037453376820846566,-0.1,wordfreq,03
-0.0017632822803025825,-0.09,wordfreq,03
0.012723277758332463,-0.08,wordfreq,03
-0.007033332261702574,-0.07,wordfreq,03
-0.017183702971476325,-0.06,wordfreq,03
-0.003464315277204166,-0.05,wordfreq,03
-0.0013975625456934234,-0.04,wordfreq,03
-0.0021417989155815545,-0.03,wordfreq,03
-0.018190152672284455,-0.02,wordfreq,03
